areaCode,areaName,areaType,date,newDeaths60DaysByPublishDate
E06000042,Milton Keynes,utla,2021-07-18,0
E06000042,Milton Keynes,utla,2021-07-17,1
E06000042,Milton Keynes,utla,2021-07-16,0
E06000042,Milton Keynes,utla,2021-07-15,0
E06000042,Milton Keynes,utla,2021-07-14,0
E06000042,Milton Keynes,utla,2021-07-13,1
E06000042,Milton Keynes,utla,2021-07-12,1
E06000042,Milton Keynes,utla,2021-07-11,0
E06000042,Milton Keynes,utla,2021-07-10,0
E06000042,Milton Keynes,utla,2021-07-09,0
E06000042,Milton Keynes,utla,2021-07-08,0
E06000042,Milton Keynes,utla,2021-07-07,0
E06000042,Milton Keynes,utla,2021-07-06,0
E06000042,Milton Keynes,utla,2021-07-05,0
E06000042,Milton Keynes,utla,2021-07-04,0
E06000042,Milton Keynes,utla,2021-07-03,0
E06000042,Milton Keynes,utla,2021-07-02,0
E06000042,Milton Keynes,utla,2021-07-01,0
E06000042,Milton Keynes,utla,2021-06-30,0
E06000042,Milton Keynes,utla,2021-06-29,0
E06000042,Milton Keynes,utla,2021-06-28,0
E06000042,Milton Keynes,utla,2021-06-27,0
E06000042,Milton Keynes,utla,2021-06-26,0
E06000042,Milton Keynes,utla,2021-06-25,0
E06000042,Milton Keynes,utla,2021-06-24,0
E06000042,Milton Keynes,utla,2021-06-23,0
E06000042,Milton Keynes,utla,2021-06-22,0
E06000042,Milton Keynes,utla,2021-06-21,0
E06000042,Milton Keynes,utla,2021-06-20,0
E06000042,Milton Keynes,utla,2021-06-19,0
E06000042,Milton Keynes,utla,2021-06-18,0
E06000042,Milton Keynes,utla,2021-06-17,0
E06000042,Milton Keynes,utla,2021-06-16,0
E06000042,Milton Keynes,utla,2021-06-15,0
E06000042,Milton Keynes,utla,2021-06-14,0
E06000042,Milton Keynes,utla,2021-06-13,0
E06000042,Milton Keynes,utla,2021-06-12,0
E06000042,Milton Keynes,utla,2021-06-11,0
E06000042,Milton Keynes,utla,2021-06-10,0
E06000042,Milton Keynes,utla,2021-06-09,0
E06000042,Milton Keynes,utla,2021-06-08,1
E06000042,Milton Keynes,utla,2021-06-07,0
E06000042,Milton Keynes,utla,2021-06-06,0
E06000042,Milton Keynes,utla,2021-06-05,0
E06000042,Milton Keynes,utla,2021-06-04,0
E06000042,Milton Keynes,utla,2021-06-03,0
E06000042,Milton Keynes,utla,2021-06-02,0
E06000042,Milton Keynes,utla,2021-06-01,0
E06000042,Milton Keynes,utla,2021-05-31,0
E06000042,Milton Keynes,utla,2021-05-30,0
E06000042,Milton Keynes,utla,2021-05-29,0
E06000042,Milton Keynes,utla,2021-05-28,0
E06000042,Milton Keynes,utla,2021-05-27,0
E06000042,Milton Keynes,utla,2021-05-26,1
E06000042,Milton Keynes,utla,2021-05-25,0
E06000042,Milton Keynes,utla,2021-05-24,0
E06000042,Milton Keynes,utla,2021-05-23,0
E06000042,Milton Keynes,utla,2021-05-22,0
E06000042,Milton Keynes,utla,2021-05-21,0
E06000042,Milton Keynes,utla,2021-05-20,0
E06000042,Milton Keynes,utla,2021-05-19,0
E06000042,Milton Keynes,utla,2021-05-18,0
E06000042,Milton Keynes,utla,2021-05-17,0
E06000042,Milton Keynes,utla,2021-05-16,0
E06000042,Milton Keynes,utla,2021-05-15,0
E06000042,Milton Keynes,utla,2021-05-14,0
E06000042,Milton Keynes,utla,2021-05-13,0
E06000042,Milton Keynes,utla,2021-05-12,0
E06000042,Milton Keynes,utla,2021-05-11,0
E06000042,Milton Keynes,utla,2021-05-10,0
E06000042,Milton Keynes,utla,2021-05-09,0
E06000042,Milton Keynes,utla,2021-05-08,0
E06000042,Milton Keynes,utla,2021-05-07,0
E06000042,Milton Keynes,utla,2021-05-06,0
E06000042,Milton Keynes,utla,2021-05-05,0
E06000042,Milton Keynes,utla,2021-05-04,0
E06000042,Milton Keynes,utla,2021-05-03,0
E06000042,Milton Keynes,utla,2021-05-02,0
E06000042,Milton Keynes,utla,2021-05-01,0
E06000042,Milton Keynes,utla,2021-04-30,0
E06000042,Milton Keynes,utla,2021-04-29,0
E06000042,Milton Keynes,utla,2021-04-28,1
E06000042,Milton Keynes,utla,2021-04-27,0
E06000042,Milton Keynes,utla,2021-04-26,0
E06000042,Milton Keynes,utla,2021-04-25,0
E06000042,Milton Keynes,utla,2021-04-24,0
E06000042,Milton Keynes,utla,2021-04-23,0
E06000042,Milton Keynes,utla,2021-04-22,0
E06000042,Milton Keynes,utla,2021-04-21,0
E06000042,Milton Keynes,utla,2021-04-20,0
E06000042,Milton Keynes,utla,2021-04-19,0
E06000042,Milton Keynes,utla,2021-04-18,0
E06000042,Milton Keynes,utla,2021-04-17,0
E06000042,Milton Keynes,utla,2021-04-16,0
E06000042,Milton Keynes,utla,2021-04-15,0
E06000042,Milton Keynes,utla,2021-04-14,0
E06000042,Milton Keynes,utla,2021-04-13,0
E06000042,Milton Keynes,utla,2021-04-12,0
E06000042,Milton Keynes,utla,2021-04-11,0
E06000042,Milton Keynes,utla,2021-04-10,0
E06000042,Milton Keynes,utla,2021-04-09,0
E06000042,Milton Keynes,utla,2021-04-08,1
E06000042,Milton Keynes,utla,2021-04-07,2
E06000042,Milton Keynes,utla,2021-04-06,0
E06000042,Milton Keynes,utla,2021-04-05,0
E06000042,Milton Keynes,utla,2021-04-04,0
E06000042,Milton Keynes,utla,2021-04-03,0
E06000042,Milton Keynes,utla,2021-04-02,0
E06000042,Milton Keynes,utla,2021-04-01,0
E06000042,Milton Keynes,utla,2021-03-31,0
E06000042,Milton Keynes,utla,2021-03-30,0
E06000042,Milton Keynes,utla,2021-03-29,0
E06000042,Milton Keynes,utla,2021-03-28,0
E06000042,Milton Keynes,utla,2021-03-27,0
E06000042,Milton Keynes,utla,2021-03-26,0
E06000042,Milton Keynes,utla,2021-03-25,1
E06000042,Milton Keynes,utla,2021-03-24,2
E06000042,Milton Keynes,utla,2021-03-23,1
E06000042,Milton Keynes,utla,2021-03-22,0
E06000042,Milton Keynes,utla,2021-03-21,0
E06000042,Milton Keynes,utla,2021-03-20,0
E06000042,Milton Keynes,utla,2021-03-19,0
E06000042,Milton Keynes,utla,2021-03-18,1
E06000042,Milton Keynes,utla,2021-03-17,0
E06000042,Milton Keynes,utla,2021-03-16,2
E06000042,Milton Keynes,utla,2021-03-15,0
E06000042,Milton Keynes,utla,2021-03-14,0
E06000042,Milton Keynes,utla,2021-03-13,0
E06000042,Milton Keynes,utla,2021-03-12,1
E06000042,Milton Keynes,utla,2021-03-11,0
E06000042,Milton Keynes,utla,2021-03-10,0
E06000042,Milton Keynes,utla,2021-03-09,1
E06000042,Milton Keynes,utla,2021-03-08,1
E06000042,Milton Keynes,utla,2021-03-07,0
E06000042,Milton Keynes,utla,2021-03-06,2
E06000042,Milton Keynes,utla,2021-03-05,2
E06000042,Milton Keynes,utla,2021-03-04,1
E06000042,Milton Keynes,utla,2021-03-03,3
E06000042,Milton Keynes,utla,2021-03-02,2
E06000042,Milton Keynes,utla,2021-03-01,1
E06000042,Milton Keynes,utla,2021-02-28,1
E06000042,Milton Keynes,utla,2021-02-27,0
E06000042,Milton Keynes,utla,2021-02-26,2
E06000042,Milton Keynes,utla,2021-02-25,3
E06000042,Milton Keynes,utla,2021-02-24,1
E06000042,Milton Keynes,utla,2021-02-23,4
E06000042,Milton Keynes,utla,2021-02-22,2
E06000042,Milton Keynes,utla,2021-02-21,2
E06000042,Milton Keynes,utla,2021-02-20,2
E06000042,Milton Keynes,utla,2021-02-19,4
E06000042,Milton Keynes,utla,2021-02-18,4
E06000042,Milton Keynes,utla,2021-02-17,3
E06000042,Milton Keynes,utla,2021-02-16,3
E06000042,Milton Keynes,utla,2021-02-15,1
E06000042,Milton Keynes,utla,2021-02-14,1
E06000042,Milton Keynes,utla,2021-02-13,2
E06000042,Milton Keynes,utla,2021-02-12,3
E06000042,Milton Keynes,utla,2021-02-11,2
E06000042,Milton Keynes,utla,2021-02-10,4
E06000042,Milton Keynes,utla,2021-02-09,5
E06000042,Milton Keynes,utla,2021-02-08,4
E06000042,Milton Keynes,utla,2021-02-07,4
E06000042,Milton Keynes,utla,2021-02-06,3
E06000042,Milton Keynes,utla,2021-02-05,3
E06000042,Milton Keynes,utla,2021-02-04,4
E06000042,Milton Keynes,utla,2021-02-03,4
E06000042,Milton Keynes,utla,2021-02-02,5
E06000042,Milton Keynes,utla,2021-02-01,3
E06000042,Milton Keynes,utla,2021-01-31,2
E06000042,Milton Keynes,utla,2021-01-30,8
E06000042,Milton Keynes,utla,2021-01-29,2
E06000042,Milton Keynes,utla,2021-01-28,5
E06000042,Milton Keynes,utla,2021-01-27,6
E06000042,Milton Keynes,utla,2021-01-26,7
E06000042,Milton Keynes,utla,2021-01-25,2
E06000042,Milton Keynes,utla,2021-01-24,3
E06000042,Milton Keynes,utla,2021-01-23,2
E06000042,Milton Keynes,utla,2021-01-22,7
E06000042,Milton Keynes,utla,2021-01-21,4
E06000042,Milton Keynes,utla,2021-01-20,9
E06000042,Milton Keynes,utla,2021-01-19,11
E06000042,Milton Keynes,utla,2021-01-18,2
E06000042,Milton Keynes,utla,2021-01-17,4
E06000042,Milton Keynes,utla,2021-01-16,7
E06000042,Milton Keynes,utla,2021-01-15,13
E06000042,Milton Keynes,utla,2021-01-14,9
E06000042,Milton Keynes,utla,2021-01-13,12
E06000042,Milton Keynes,utla,2021-01-12,9
E06000042,Milton Keynes,utla,2021-01-11,5
E06000042,Milton Keynes,utla,2021-01-10,7
E06000042,Milton Keynes,utla,2021-01-09,6
E06000042,Milton Keynes,utla,2021-01-08,4
E06000042,Milton Keynes,utla,2021-01-07,10
E06000042,Milton Keynes,utla,2021-01-06,9
E06000042,Milton Keynes,utla,2021-01-05,9
E06000042,Milton Keynes,utla,2021-01-04,4
E06000042,Milton Keynes,utla,2021-01-03,0
E06000042,Milton Keynes,utla,2021-01-02,4
E06000042,Milton Keynes,utla,2021-01-01,7
E06000042,Milton Keynes,utla,2020-12-31,6
E06000042,Milton Keynes,utla,2020-12-30,3
E06000042,Milton Keynes,utla,2020-12-29,6
E06000042,Milton Keynes,utla,2020-12-28,3
E06000042,Milton Keynes,utla,2020-12-27,1
E06000042,Milton Keynes,utla,2020-12-26,3
E06000042,Milton Keynes,utla,2020-12-25,1
E06000042,Milton Keynes,utla,2020-12-24,3
E06000042,Milton Keynes,utla,2020-12-23,9
E06000042,Milton Keynes,utla,2020-12-22,4
E06000042,Milton Keynes,utla,2020-12-21,3
E06000042,Milton Keynes,utla,2020-12-20,2
E06000042,Milton Keynes,utla,2020-12-19,1
E06000042,Milton Keynes,utla,2020-12-18,1
E06000042,Milton Keynes,utla,2020-12-17,3
E06000042,Milton Keynes,utla,2020-12-16,6
E06000042,Milton Keynes,utla,2020-12-15,3
E06000042,Milton Keynes,utla,2020-12-14,1
E06000042,Milton Keynes,utla,2020-12-13,1
E06000042,Milton Keynes,utla,2020-12-12,3
E06000042,Milton Keynes,utla,2020-12-11,2
E06000042,Milton Keynes,utla,2020-12-10,0
E06000042,Milton Keynes,utla,2020-12-09,4
E06000042,Milton Keynes,utla,2020-12-08,3
E06000042,Milton Keynes,utla,2020-12-07,0
E06000042,Milton Keynes,utla,2020-12-06,0
E06000042,Milton Keynes,utla,2020-12-05,3
E06000042,Milton Keynes,utla,2020-12-04,2
E06000042,Milton Keynes,utla,2020-12-03,1
E06000042,Milton Keynes,utla,2020-12-02,2
E06000042,Milton Keynes,utla,2020-12-01,1
E06000042,Milton Keynes,utla,2020-11-30,2
E06000042,Milton Keynes,utla,2020-11-29,0
E06000042,Milton Keynes,utla,2020-11-28,1
E06000042,Milton Keynes,utla,2020-11-27,1
E06000042,Milton Keynes,utla,2020-11-26,0
E06000042,Milton Keynes,utla,2020-11-25,1
E06000042,Milton Keynes,utla,2020-11-24,3
E06000042,Milton Keynes,utla,2020-11-23,2
E06000042,Milton Keynes,utla,2020-11-22,1
E06000042,Milton Keynes,utla,2020-11-21,1
E06000042,Milton Keynes,utla,2020-11-20,3
E06000042,Milton Keynes,utla,2020-11-19,1
E06000042,Milton Keynes,utla,2020-11-18,0
E06000042,Milton Keynes,utla,2020-11-17,7
E06000042,Milton Keynes,utla,2020-11-16,3
E06000042,Milton Keynes,utla,2020-11-15,1
E06000042,Milton Keynes,utla,2020-11-14,0
E06000042,Milton Keynes,utla,2020-11-13,0
E06000042,Milton Keynes,utla,2020-11-12,1
E06000042,Milton Keynes,utla,2020-11-11,0
E06000042,Milton Keynes,utla,2020-11-10,1
E06000042,Milton Keynes,utla,2020-11-09,0
E06000042,Milton Keynes,utla,2020-11-08,1
E06000042,Milton Keynes,utla,2020-11-07,0
E06000042,Milton Keynes,utla,2020-11-06,1
E06000042,Milton Keynes,utla,2020-11-05,1
E06000042,Milton Keynes,utla,2020-11-04,1
E06000042,Milton Keynes,utla,2020-11-03,0
E06000042,Milton Keynes,utla,2020-11-02,0
E06000042,Milton Keynes,utla,2020-11-01,0
E06000042,Milton Keynes,utla,2020-10-31,0
E06000042,Milton Keynes,utla,2020-10-30,0
E06000042,Milton Keynes,utla,2020-10-29,0
E06000042,Milton Keynes,utla,2020-10-28,0
E06000042,Milton Keynes,utla,2020-10-27,0
E06000042,Milton Keynes,utla,2020-10-26,0
E06000042,Milton Keynes,utla,2020-10-25,0
E06000042,Milton Keynes,utla,2020-10-24,0
E06000042,Milton Keynes,utla,2020-10-23,0
E06000042,Milton Keynes,utla,2020-10-22,0
E06000042,Milton Keynes,utla,2020-10-21,0
E06000042,Milton Keynes,utla,2020-10-20,0
E06000042,Milton Keynes,utla,2020-10-19,0
E06000042,Milton Keynes,utla,2020-10-18,0
E06000042,Milton Keynes,utla,2020-10-17,0
E06000042,Milton Keynes,utla,2020-10-16,1
E06000042,Milton Keynes,utla,2020-10-15,0
E06000042,Milton Keynes,utla,2020-10-14,0
E06000042,Milton Keynes,utla,2020-10-13,0
E06000042,Milton Keynes,utla,2020-10-12,0
E06000042,Milton Keynes,utla,2020-10-11,0
E06000042,Milton Keynes,utla,2020-10-10,0
E06000042,Milton Keynes,utla,2020-10-09,0
E06000042,Milton Keynes,utla,2020-10-08,0
E06000042,Milton Keynes,utla,2020-10-07,0
E06000042,Milton Keynes,utla,2020-10-06,0
E06000042,Milton Keynes,utla,2020-10-05,0
E06000042,Milton Keynes,utla,2020-10-04,0
E06000042,Milton Keynes,utla,2020-10-03,0
E06000042,Milton Keynes,utla,2020-10-02,1
E06000042,Milton Keynes,utla,2020-10-01,0
E06000042,Milton Keynes,utla,2020-09-30,0
E06000042,Milton Keynes,utla,2020-09-29,0
E06000042,Milton Keynes,utla,2020-09-28,0
E06000042,Milton Keynes,utla,2020-09-27,0
E06000042,Milton Keynes,utla,2020-09-26,0
E06000042,Milton Keynes,utla,2020-09-25,0
E06000042,Milton Keynes,utla,2020-09-24,0
E06000042,Milton Keynes,utla,2020-09-23,0
E06000042,Milton Keynes,utla,2020-09-22,0
E06000042,Milton Keynes,utla,2020-09-21,0
E06000042,Milton Keynes,utla,2020-09-20,0
E06000042,Milton Keynes,utla,2020-09-19,0
E06000042,Milton Keynes,utla,2020-09-18,0
E06000042,Milton Keynes,utla,2020-09-17,0
E06000042,Milton Keynes,utla,2020-09-16,0
E06000042,Milton Keynes,utla,2020-09-15,0
E06000042,Milton Keynes,utla,2020-09-14,0
E06000042,Milton Keynes,utla,2020-09-13,0
E06000042,Milton Keynes,utla,2020-09-12,0
E06000042,Milton Keynes,utla,2020-09-11,0
E06000042,Milton Keynes,utla,2020-09-10,0
E06000042,Milton Keynes,utla,2020-09-09,0
E06000042,Milton Keynes,utla,2020-09-08,0
E06000042,Milton Keynes,utla,2020-09-07,0
E06000042,Milton Keynes,utla,2020-09-06,0
E06000042,Milton Keynes,utla,2020-09-05,0
E06000042,Milton Keynes,utla,2020-09-04,0
E06000042,Milton Keynes,utla,2020-09-03,0
E06000042,Milton Keynes,utla,2020-09-02,0
E06000042,Milton Keynes,utla,2020-09-01,0
E06000042,Milton Keynes,utla,2020-08-31,0
E06000042,Milton Keynes,utla,2020-08-30,0
E06000042,Milton Keynes,utla,2020-08-28,0
E06000042,Milton Keynes,utla,2020-08-27,0
E06000042,Milton Keynes,utla,2020-08-26,0
E06000042,Milton Keynes,utla,2020-08-25,0
E06000042,Milton Keynes,utla,2020-08-24,0
E06000042,Milton Keynes,utla,2020-08-23,0
E06000042,Milton Keynes,utla,2020-08-22,0
E06000042,Milton Keynes,utla,2020-08-21,0
E06000042,Milton Keynes,utla,2020-08-20,0
E06000042,Milton Keynes,utla,2020-08-19,0
E06000042,Milton Keynes,utla,2020-08-18,0
E06000042,Milton Keynes,utla,2020-08-17,0
E06000042,Milton Keynes,utla,2020-08-15,1
